date,sales,onpromotion,transactions,dcoilwtico,is_holiday,day_of_week,day_of_month,month,quarter,year,week_of_year,lag_1,lag_7,lag_14,lag_28,rolling_7,rolling_14,rolling_28
2013-01-01,2511.618999,0,770.0,93.14,1,1,1,1,1,2013,1,,,,,,,
2013-01-02,496092.417944,0,93215.0,93.14,0,2,2,1,1,2013,1,2511.618999,,,,,,
2013-01-03,361461.231124,0,78504.0,92.97,0,3,3,1,1,2013,1,496092.417944,,,,,,
2013-01-04,354459.6770927,0,78494.0,93.12,0,4,4,1,1,2013,1,361461.231124,,,,,,
2013-01-05,477350.121229,0,93573.0,93.12,1,5,5,1,1,2013,1,354459.6770927,,,,,,
2013-01-06,519695.401088,0,90464.0,93.12,0,6,6,1,1,2013,1,477350.121229,,,,,,
2013-01-07,336122.801066,0,75597.0,93.2,0,0,7,1,1,2013,2,519695.401088,,,,,,
2013-01-08,318347.777981,0,72325.0,93.21,0,1,8,1,1,2013,2,336122.801066,2511.618999,,,363956.1812203857,,
2013-01-09,302530.809018,0,71971.0,93.08,0,2,9,1,1,2013,2,318347.777981,496092.417944,,,409075.63250352856,,
2013-01-10,258982.003049,0,66383.0,93.81,0,3,10,1,1,2013,2,302530.809018,361461.231124,,,381423.9740855286,,
2013-01-11,289737.6850845,0,70338.0,93.6,0,4,11,1,1,2013,2,258982.003049,354459.6770927,,,366784.0843605286,,
2013-01-12,403258.2120105,0,85511.0,93.6,1,5,12,1,1,2013,2,289737.6850845,477350.121229,,,357538.0855022143,,
2013-01-13,464638.547998,0,86306.0,93.6,0,6,13,1,1,2013,2,403258.2120105,519695.401088,,,346953.52704242856,,
2013-01-14,293348.362078,0,70078.0,94.27,0,0,14,1,1,2013,3,464638.547998,336122.801066,,,339088.26231528574,,
2013-01-15,299129.549954,0,71134.0,93.26,0,1,15,1,1,2013,3,293348.362078,318347.777981,2511.618999,,332977.62817414285,348466.90469726425,
2013-01-16,318347.913946,0,72471.0,94.28,0,2,16,1,1,2013,3,299129.549954,302530.809018,496092.417944,,330232.1670274286,369653.89976547856,
2013-01-17,267498.5159755,0,68873.0,95.49,0,3,17,1,1,2013,3,318347.913946,258982.003049,361461.231124,,332491.75344571425,356957.86376562144,
2013-01-18,296130.850028,0,71371.0,95.61,0,4,18,1,1,2013,3,267498.5159755,289737.6850845,354459.6770927,,333708.3981495,350246.24125501426,
2013-01-19,432459.852021,0,88558.0,95.61,0,5,19,1,1,2013,3,296130.850028,403258.2120105,477350.121229,,334621.7074271428,346079.8964646786,
2013-01-20,461092.386047,0,85281.0,95.61,0,6,20,1,1,2013,3,432459.852021,464638.547998,519695.401088,,338793.37028578576,342873.44866410707,
2013-01-21,311211.26595000003,0,73250.0,95.61,0,0,21,1,1,2013,4,461092.386047,293348.362078,336122.801066,,338286.77572135715,338687.5190183214,
2013-01-22,296214.728983,0,68988.0,96.09,0,1,22,1,1,2013,4,311211.26595000003,299129.549954,318347.777981,,340838.61913164286,336908.12365289294,
2013-01-23,283258.4530325,0,69819.0,95.06,0,2,23,1,1,2013,4,296214.728983,318347.913946,302530.809018,,340422.21613578574,335327.1915816072,
2013-01-24,247245.690995,0,63705.0,95.35,0,3,24,1,1,2013,4,283258.4530325,267498.5159755,258982.003049,,335409.43600528565,333950.5947255,
2013-01-25,290022.77193,0,71273.0,95.15,0,4,25,1,1,2013,4,247245.690995,296130.850028,289737.6850845,,332516.1752937857,333112.2867216429,
2013-01-26,413799.7679753,0,88022.0,95.15,0,5,26,1,1,2013,4,290022.77193,432459.852021,403258.2120105,,331643.59270835714,333132.65006774996,
