feature,importance
lag_7,0.40926596345331767
transactions,0.21248862438965366
lag_14,0.14152205526593098
lag_1,0.09091416501477466
rolling_7,0.07157756589756495
day_of_month,0.01524688421729765
lag_28,0.015188609977753738
rolling_14,0.012455096014053334
onpromotion,0.008967580025003426
day_of_week,0.007214427674602416
week_of_year,0.00459503423894515
rolling_28,0.00367335930503678
dcoilwtico,0.003312355414462321
year,0.0015494804962414399
month,0.0012113084364532797
is_holiday,0.0005331484354441758
quarter,0.00028434174346432246
